province,conversion_rate,中国
广东,5.496624879,广东
江苏,5.147697654,江苏
重庆,2.849071832,重庆
河北,1.769378912,河北
黑龙江,1.874414246,黑龙江
四川,2.794976119,四川
浙江,5.867346939,浙江
天津,4.978354978,天津
江西,3.551912568,江西
陕西,2.513264451,陕西
北京,7.50182083,北京
湖南,3.605648008,湖南
内蒙古,3.213610586,内蒙古
山西,1.27082745,山西
山东,2.894919972,山东
辽宁,2.632964718,辽宁
新疆,3.606965174,新疆
河南,1.950313443,河南
广西,5.05913272,广西
福建,3.346203346,福建
上海,7.333333333,上海
安徽,2.629513344,安徽
贵州,4.511707596,贵州
云南,4.424778761,云南
吉林,1.997649824,吉林
青海,0,青海
甘肃,2.45959241,甘肃
湖北,3.403403403,湖北
宁夏,1.276595745,宁夏
海南,6.64652568,海南
台湾,0,台湾
西藏,2.272727273,西藏
